,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.9957167332952599,0.9702970297029703,0.9708695652173913,0.1267980388961533,0.5212796591613339,0.9957167332952599,0.9560975609756097,0.9565217391304348,0.12787604965094793,0.484975605714659,0,0,0,0,0,15.508350849151611,0.9960022844089093,0.9702970297029703,0.9708695652173913,0.1552206693043558,0.7505836278571898,0.9960022844089093,0.9560975609756097,0.9565217391304348,0.12810266566406261,0.4853821108821431,0,0,0,0,0,14.609824657440186
AutoTabPFN,1.0,1.0,1.0,0.2216636519130545,0.5005720446391559,1.0,0.9853658536585366,0.9852216748768473,0.07314880981879376,0.5050380283036757,1,1,1,0,0,189.27717995643616,1.0,1.0,1.0,0.8815031810170095,0.7225039186257725,1.0,0.9853658536585366,0.9852216748768473,0.022557129607980658,0.5042462141601236,1,1,1,0,0,189.9273715019226
CatBoost,0.9957167332952599,1.0,1.0,0.19713909562177134,0.5186110131312548,0.9957167332952599,0.9853658536585366,0.9852216748768473,0.08224868977098351,0.48747117212591073,0,1,1,0,0,1.2639479637145996,0.9957167332952599,1.0,1.0,0.2417568177610393,0.7473669962760346,0.9957167332952599,0.9853658536585366,0.9852216748768473,0.08224868977098351,0.48747117212591073,0,1,1,0,0,1.0940437316894531
LightGBM,0.9905768132495716,1.0,1.0,0.19506636360766486,0.5083155242316117,0.9905768132495716,0.9853658536585366,0.9852216748768473,0.08312264614795024,0.49734447680041355,0,1,1,0,0,0.07347536087036133,1.0,1.0,1.0,0.36928719872704957,0.7334052025336188,1.0,0.9853658536585366,0.9852216748768473,0.053844762484563866,0.4967511335129908,1,1,1,0,0,0.051207780838012695
LogisticRegression,0.876546735198934,0.806930693069307,0.822972972972973,0.03572940314249939,0.6724238217593067,0.876546735198934,0.7951219512195122,0.8108108108108109,0.45381201171649554,0.37596514321438057,0,0,0,0,0,4.003703832626343,0.8790215115172283,0.806930693069307,0.822972972972973,0.04389368092851502,1.0,0.8790215115172283,0.7951219512195122,0.8108108108108109,0.45300783810843237,0.36431986568289976,0,0,0,0,1,0.03918194770812988
MLP,0.881781838949172,0.7623762376237624,0.7192,0.031248693349987245,0.6069375840844337,0.881781838949172,0.751219512195122,0.7085714285714285,0.518883530134355,0.41653034031474595,0,0,0,0,0,0.3464672565460205,0.9926708547496669,0.9603960396039604,0.9620853080568721,0.16008960443171438,0.8058039104020827,0.9926708547496669,0.9463414634146341,0.9478672985781991,0.12420657527784348,0.45211975392513326,0,0,0,0,0,1.0728034973144531
RandomForest,1.0,1.0,1.0,0.2470387907726262,0.5053446763389425,1.0,0.9853658536585366,0.9852216748768473,0.06563516712017524,0.5002682926829463,1,1,1,0,0,0.2837996482849121,1.0,1.0,1.0,0.29936666413870994,0.7286397313657853,1.0,0.9853658536585366,0.9852216748768473,0.06642082731975357,0.5000000000000098,1,1,1,0,0,0.2817347049713135
SVM,0.7071197411003237,0.6930693069306931,0.7164705882352942,0.02599498076602441,1.0,0.7071197411003237,0.6829268292682927,0.7058823529411765,0.6237524260344782,0.25280791844849887,0,0,0,0,1,0.0985114574432373,0.9603083952027414,0.900990099009901,0.9074193548387097,0.07909347188864478,0.8601807112968691,0.9603083952027414,0.8878048780487805,0.8940092165898618,0.2514010452347159,0.42353875284371983,0,0,0,0,0,0.05838823318481445
TabPFN,1.0,1.0,1.0,1.0,0.4984956126334721,1.0,0.9853658536585366,0.9852216748768473,0.016214432317527325,0.5071417120663416,1,1,1,1,0,0.2141106128692627,1.0,1.0,1.0,1.0,0.7205715375895579,1.0,0.9853658536585366,0.9852216748768473,0.01988418150404792,0.5055984682681411,1,1,1,1,0,1.9281177520751953
XGBoost,0.9894346087949742,1.0,1.0,0.1936980450948564,0.5089647322932522,0.9894346087949742,0.9853658536585366,0.9852216748768473,0.08370983976419023,0.4967100909122275,0,1,1,0,0,0.03978157043457031,0.9894346087949742,1.0,1.0,0.23753696769772176,0.7334658029874369,0.9894346087949742,0.9853658536585366,0.9852216748768473,0.08370983976419023,0.4967100909122275,0,1,1,0,0,0.03459763526916504
